Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
checkBan,2000,668,47,1906,2222,3691,8,7032,0.000%,251.13009,51.50,34.09
getUserInfo,2000,129,24,256,659,1827,10,3072,0.000%,251.66730,1549.57,34.90
logIn,2000,223,16,813,930,1755,7,3845,0.000%,252.01613,63.74,0.00
computerRequestAQrCode,2000,745,533,1665,2169,3079,10,5329,0.000%,330.14196,96.08,46.10
register,2000,77,69,130,142,232,13,349,0.000%,1663.89351,412.74,0.00
mobileConfirmLogin,2000,438,197,983,1518,1637,11,3973,0.000%,426.43923,87.45,86.62
checkLogIn,2000,546,311,1435,1758,1916,7,3037,0.000%,538.50296,158.29,75.20
computerLogin,2000,434,181,976,1597,1702,10,1918,0.000%,754.14781,154.66,107.52
updateImage,2000,244,15,919,1770,2253,9,4740,0.000%,383.58266,78.29,0.00
updateUserInfo,2000,634,48,1929,2125,3145,9,3398,0.000%,385.28222,79.01,167.81
updatePassword,2000,71,12,239,270,630,8,1252,0.000%,392.92731,95.93,127.01
TOTAL,22000,382,55,1106,1744,2594,7,7032,0.000%,67.59580,52.31,10.19
