Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
updateImage,2000,15,14,25,29,41,8,85,0.000%,643.50064,131.34,0.00
updateUserInfo,2000,14,13,20,23,32,8,88,0.000%,647.03979,132.69,281.82
updatePassword,2000,13,13,19,22,31,8,53,0.000%,649.13989,163.19,209.83
register,2000,15,15,20,22,28,10,36,0.000%,1273.88535,315.93,0.00
checkBan,2000,20,19,34,39,50,8,116,0.000%,424.89909,155.60,57.68
getUserInfo,2000,30,28,48,55,74,11,99,0.000%,425.44140,2619.30,59.00
logIn,2000,22,21,36,41,56,8,79,0.000%,425.89438,121.86,0.00
computerRequestAQrCode,2000,24,25,34,36,41,10,70,0.000%,924.21442,268.96,129.07
mobileConfirmLogin,2000,15,15,21,25,31,10,52,0.000%,1142.85714,234.38,231.55
checkLogIn,2000,9,9,11,13,22,7,47,0.000%,1337.79264,389.98,186.82
computerLogin,2000,26,26,39,43,56,11,84,0.000%,902.52708,185.09,128.21
TOTAL,22000,19,16,33,38,53,7,116,0.000%,183.24324,145.10,27.61
