Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
getAllUserFollowingMe,2000,2269,1727,4616,5182,6104,68,6673,0.000%,93.65050,15222.32,13.81
followAUser,2000,1930,1492,3880,4370,4658,28,5216,0.000%,88.90469,18.23,22.14
getAllUserIFollowing,2000,1519,1304,2626,3007,4372,40,4933,0.000%,82.25037,5159.04,12.05
getUserAnswerMyCommentAndTopic,2000,957,936,1481,1665,2411,54,4695,0.000%,81.83641,21.02,12.87
getTopicsUserLike,2000,903,913,1429,1657,2405,55,5358,0.000%,80.37293,20.64,11.62
getCommentsUserLike,2000,869,819,1512,1645,2143,60,4410,0.000%,79.26757,20.36,11.61
getTopicsUserCreat,2000,913,821,1551,1729,2345,23,4009,0.000%,79.25500,984.11,11.53
checkUserFollow,2000,939,904,1492,1675,2239,14,4617,0.000%,79.52602,20.58,12.74
getCommentsUserCreat,2000,1036,1024,1652,1836,2307,37,3454,0.000%,79.67810,3383.36,11.75
总体,18000,1259,1063,2196,3191,4764,14,6673,0.000%,703.07007,21981.24,112.83
